feature,importance_mean,importance_std,rank
h_x_distance,0.11275310933802571,0.0015807261241046965,1
c_h_x_angle,0.08742169352164889,0.0014677310259334116,2
structure_type_organometallic,0.07879568635830944,0.0018212852368269126,3
acceptor_hybridisation_sp3,0.027469615436284157,0.0008111699650867652,4
donor_hybridisation_sp3,0.0002968217408766516,0.0001625636628111343,5
acceptor_hybridisation_sp2,0.00026938462427276153,5.3959707799571635e-05,6
donor_hybridisation_sp2,0.0002523749994489899,5.5167766438565645e-05,7
