class,precision,recall,f1-score,support
Cl,0.9346478142430925,0.7297144014583755,0.8195643519308423,49370.0
Br,0.3176169777550499,0.711454753722795,0.43917270638147426,8730.0
accuracy,0.7269707401032702,0.7269707401032702,0.7269707401032702,0.7269707401032702
macro avg,0.6261323959990712,0.7205845775905853,0.6293685291561583,58100.0
weighted avg,0.841933886488521,0.7269707401032702,0.7624073972725638,58100.0
