halogen,count,mean,median,std,min,max,Q1,Q3,IQR
Cl,246850,3.06,3.086,0.2184,2.3,3.4,2.917,3.235,0.318
Br,43649,3.0422,3.049,0.2624,2.401,3.5,2.829,3.259,0.43
