halogen,donor_hybridisation,count,mean,median,std,Q1,Q3
Br,sp,2,134.4,134.4,0.9899,134.05,134.75
Br,sp2,1694,121.303,111.5,20.4799,105.5,133.5
Br,sp3,41953,125.2017,120.5,19.4382,108.2,138.4
Cl,sp,21,134.6238,135.2,21.4937,120.9,155.8
Cl,sp2,9371,128.0128,124.5,20.6416,109.4,143.9
Cl,sp3,237458,130.6742,128.3,18.9513,115.3,144.8
