halogen,count,mean,median,std,min,max,Q1,Q3,IQR
Cl,246850,130.5735,128.2,19.0251,100.0,179.9,115.1,144.8,29.7
Br,43649,125.0508,120.2,19.4934,100.0,179.6,108.0,138.3,30.3
