feature,importance_mean,importance_std,rank
structure_type_organometallic,0.12730719830459436,0.0021753437375321007,1
c_h_x_angle,0.043489883413020056,0.0014036692166785204,2
acceptor_hybridisation_sp3,0.04017108476308938,0.0011057146873259007,3
donor_hybridisation_sp3,0.002557208687422574,0.0003861758486513058,4
acceptor_hybridisation_sp2,0.0015054305091808718,0.00011228511508139113,5
donor_hybridisation_sp2,0.0010421526584333042,0.00013015389524797808,6
